('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         770088 function calls (745963 primitive calls) in 2.028 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      251    0.000    0.000    0.248    0.001 default.py:125(__iter__)
       30    0.000    0.000    0.000    0.000 inspect.py:3045(<genexpr>)
       28    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
       51    0.000    0.000    0.000    0.000 message.py:421(__setitem__)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
      251    0.000    0.000    0.248    0.001 http11.py:330(__iter__)
      252    0.000    0.000    0.000    0.000 _connection.py:248(_server_switch_event)
      195    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
       23    0.000    0.000    0.022    0.001 _receivebuffer.py:104(maybe_extract_lines)
    42/30    0.000    0.000    0.011    0.000 css_parser.py:569(parse_pseudo_class)
       28    0.000    0.000    0.001    0.000 typing.py:1548(__getitem__)
      643    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       28    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
       24    0.000    0.000    0.000    0.000 <frozen abc>:146(update_abstractmethods)
        1    0.000    0.000    0.063    0.063 css_parser.py:1(<module>)
      135    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
      246    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      164    0.000    0.000    0.000    0.000 enum.py:202(__get__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pathlib.py:1(<module>)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
      267    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      213    0.000    0.000    0.001    0.000 typing.py:1454(<genexpr>)
      112    0.000    0.000    0.000    0.000 dataclasses.py:857(_set_qualname)
